#COUNTRY,WEST,EST,SUD,NORTH,POPULATION
SouthKorea,124,131,33,38,48988833
Spain,-18,4,27,43,46125154
SriLanka,79,81,5,9,20653000
Sudan,21,38,11,22,30894000
Suriname,-58,-54,1,6,52500
Swaziland,30,32,-27,-25,1186000
Sweden,10,24,55,69,9440588
Switzerland,5,10,45,47,7866500
Syria,35,42,32,37,23695000
Tajikistan,67,75,36,41,6879000
Tanzania,29,40,-11,0,43187823
Thailand,97,105,5,20,67041000
Gambia,-16,-13,13,13,1728000
Togo,0,1,6,11,6028000
Tonga,-175,-173,-22,-15,10400
TrinidadandTobago,-61,-60,10,11,1317714
Tunisia,7,11,30,37,10549100
Turkey,25,44,35,42,73722988
Turkmenistan,52,66,35,42,5042000
Tuvalu,176,179,-10,-5,1000
Uganda,29,35,-1,4,31800000
Ukraine,22,40,44,52,45706126
UnitedArabEmirates,51,56,22,26,8264070
UnitedKingdom,-130,72,49,60,62435709
UnitedStates,-124,-64,29,41,312112000
UnitedStates,-124,-95,41,48,312112000
UnitedStates,-95,-83,41,47,312112000
UnitedStates,-81,-70,41,42,312112000
UnitedStates,-78,-75,41,43,312112000
UnitedStates,-75,-67,42,45,312112000
UnitedStates,-70,-67,44,47,312112000
UnitedStates,-83,-79,24,29,312112000
Alaska,-167,-140,58,71,0
Uruguay,-58,-53,-35,-30,3356584
Uzbekistan,56,73,37,45,27445000
Vanuatu,167,170,-20,-13,24000
VaticanCity,12,12,41,41,50000
Venezuela,-73,-59,0,15,29348000
Vietnam,103,109,8,23,87375000
WesternSahara,-17,-8,20,27,53100
Yemen,41,54,12,19,22492035
Zambia,22,32,-18,-8,13046508
Zimbabwe,25,33,-22,-15,12571000
