afraid
alright
alert
amused
angry
ashamed
awful
bad
bored
brave
bright
calm
charming
cheerful
comfortable
confused
dangerous
delightful
doubtful
eager
eerie
elated
evil
excited
fair
fine
foolish
friendly
funny
gentle
glorious
good
happy
healthy
helpful
helpless
hungry
hurt
innocent
jealous
jolly
kind
lively
lonely
lovely
mad
nervous
perfect
pleasant
puzzled
relaxed
scared
shy
silly
sleepy
strange
tense
terrible
tired
upset
worried
